text,label
a lot of peeled mobile battery from kitchen,ewaste
one wet magazine in market,recyclable
a pack of rusty combined trash bag found on street,mixed
several magazine in market,recyclable
several egg shell in school,compostable
a pack of expired medicine in school,hazardous
a lot of tear-stained mobile battery in school,ewaste
one carton in school,recyclable
rusty earphones from kitchen,ewaste
two crumpled plastic container from shop,recyclable
old sanitary pad found on street,sanitary
rotten mango after festival,biodegradable
a pack of paper cup found on street,recyclable
two used fruit waste after festival,biodegradable
several old tampon after festival mixed with plastic,sanitary
one flower waste from shop,biodegradable
one metal scrap from office,metal
two rusty glass cup from office,glass
several newspaper from office mixed with paper,recyclable
a lot of glass cup after festival,glass
a pack of flower waste from office,biodegradable
several used tampon after festival,sanitary
old glass jar in market,glass
a lot of used diaper in market,sanitary
a lot of soiled worn T-shirt from kitchen,textile
one old coffee grounds from shop,compostable
two broken envelope from kitchen,recyclable
several tear-stained cotton swabs from kitchen,sanitary
one shoe sole from kitchen,textile
old chemicals bottle from kitchen,hazardous
one wet old mobile phone from office,ewaste
a pack of plastic bottle from shop,recyclable
one leftover rice in school,biodegradable
one crumpled chemicals bottle from shop,hazardous
two vegetable peels found on street,biodegradable
several used household mixed waste from kitchen,mixed
several tear-stained old clothes from office,textile
a pack of glass cup after festival,glass
two rotten glass cup from kitchen,glass
empty cloth pieces from office,textile
crumpled garden leaves in school,compostable
expired medicine from office,hazardous
a lot of rotten coffee grounds from kitchen,compostable
a lot of tear-stained used food packet in school,biodegradable
a pack of wine bottle found on street,glass
broken solvent jar in market,hazardous
a lot of plastic container from shop,recyclable
a pack of cotton swabs from shop,sanitary
a lot of flower waste from office,biodegradable
several cardboard box in school,recyclable
two crumpled magazine in market,recyclable
cardboard box after festival,recyclable
a lot of dry leftover dal from office,biodegradable
one empty glass cup after festival,glass
one paper bag from kitchen,recyclable
two broken charger from office,ewaste
soiled tea leaves after festival,biodegradable
several old paper packet in school,recyclable
one wet acid bottle from kitchen,hazardous
one circuit board in market,ewaste
a lot of peeled hard disk from kitchen,ewaste
two crumpled plastic bottle found on street,recyclable
a pack of crumpled expired medicine from office,hazardous
peeled old mobile phone from shop,ewaste
two crumpled plastic bottle from shop,recyclable
one wine bottle in school,glass
peeled newspaper in school,recyclable
one old used battery after festival,hazardous
several empty household mixed waste in market mixed with plastic,mixed
several rotten keyboard found on street,ewaste
several wet sanitary pad after festival,sanitary
two empty magazine in school,recyclable
several paper bag from kitchen,recyclable
several glass cup in market,glass
a pack of old paper bag in market,recyclable
rusty torn saree found on street,textile
a lot of pesticide bottle in market,hazardous
a lot of crumpled old clothes from office,textile
a pack of rotten banana peel from shop,biodegradable
several peeled cooked food scrap from kitchen,biodegradable
several wet metal scrap in market,metal
one cooking oil tin in market,metal
a lot of banana peel in market,biodegradable
one dry fruit waste from kitchen,biodegradable
several banana peel from kitchen,biodegradable
several crumpled broken charger in school,ewaste
a lot of printer cartridge in school,ewaste
one carton from office mixed with shoe sole,recyclable
one paper bag from kitchen,recyclable
a pack of tear-stained combined trash bag from office,mixed
dry used food packet from office,biodegradable
two crumpled glass jar found on street mixed with plastic,glass
two peeled mobile battery from office,ewaste
several used bedsheet after festival,textile
several glass bottle in school mixed with plastic,glass
several tear-stained thermometer (mercury) from kitchen,hazardous
two used cooked food scrap from office,biodegradable
two worn T-shirt from kitchen mixed with paper,textile
a lot of hard disk from kitchen,ewaste
two envelope from office,recyclable
two soiled wine bottle from shop,glass
a lot of broken magazine in market,recyclable
one broken magazine found on street,recyclable
two soiled broken glass from office,glass
two keyboard after festival,ewaste
a pack of carton in school,recyclable
printer cartridge after festival,ewaste
vegetable peels from kitchen,biodegradable
a pack of peeled expired medicine in market,hazardous
two wet miscellaneous waste after festival mixed with paper,mixed
crumpled newspaper in market,recyclable
a lot of tampon in market,sanitary
